sierra     WS.C.11.08 -------   27.64    0.00    0.46    11  6000     0     0
sierra     WS.C.11.09 -------   27.50    0.10    0.80    11  6000     0     0
sierra     WS.C.11.10 -------   20.33    0.19    0.78    11  6000     0     0
sierra     WS.C.11.11 -------   30.62    0.00    0.76    11  6000     0     0
sierra     WS.C.11      30.85 ------- ------- -------    11  6000     0     0
sierra     WS.C.12.01 -------   30.01    0.00    0.03    12  6000     0     0
sierra     WS.C.12.02 -------   28.41    0.01    0.04    12  6000     0     0
sierra     WS.C.12.03 -------   18.97    0.01    0.06    12  6000     0     0
sierra     WS.C.12.04 -------   29.71    0.01    0.05    12  6000     0     0
sierra     WS.C.12.05 -------   30.35    0.01    0.94    12  6000     0     0
sierra     WS.C.12.06 -------   20.54    0.01    1.24    12  6000     0     0
sierra     WS.C.12.07 -------   20.40    0.85    0.23    12  6000     0     0
sierra     WS.C.12.08 -------   27.61    0.07    0.16    12  6000     0     0
sierra     WS.C.12.09 -------   27.68    0.10    0.84    12  6000     0     0
sierra     WS.C.12.10 -------   27.75    0.08    0.72    12  6000     0     0
sierra     WS.C.12.11 -------   18.55    0.26    0.84    12  6000     0     0
sierra     WS.C.12.12 -------   28.36    0.31    0.30    12  6000     0     0
sierra     WS.C.12      30.50 ------- ------- -------    12  6000     0     0
sierra     WS.C.13.01 -------   32.36    0.01    0.03    13  6000     0     0
sierra     WS.C.13.02 -------   20.43    0.00    0.05    13  6000     0     0
sierra     WS.C.13.03 -------   30.69    0.01    0.87    13  6000     0     0
sierra     WS.C.13.04 -------   29.42    0.01    0.17    13  6000     0     0
sierra     WS.C.13.05 -------   18.28    0.01    0.89    13  6000     0     0
sierra     WS.C.13.06 -------   28.36    0.03    0.43    13  6000     0     0
sierra     WS.C.13.07 -------   27.30    0.04    1.54    13  6000     0     0
sierra     WS.C.13.08 -------   28.47    0.11    0.97    13  6000     0     0
sierra     WS.C.13.09 -------   34.23    0.12    0.97    13  6000     0     0
sierra     WS.C.13.10 -------   28.52    0.19    1.09    13  6000     0     0
sierra     WS.C.13.11 -------   34.76    0.29    0.19    13  6000     0     0
sierra     WS.C.13.12 -------   31.92    0.18    1.24    13  6000     0     0
sierra     WS.C.13.13 -------   20.43    0.27    0.82    13  6000     0     0
sierra     WS.C.13      35.04 ------- ------- -------    13  6000     0     0
sierra     WS.C.14.01 -------   32.04    0.01    0.03    14  6000     0     0
sierra     WS.C.14.02 -------   33.99    0.01    0.06    14  6000     0     0
sierra     WS.C.14.03 -------   26.99    0.01    0.04    14  6000     0     0
sierra     WS.C.14.04 -------   31.70    0.01    0.15    14  6000     0     0
sierra     WS.C.14.05 -------   35.88    0.79    0.05    14  6000     0     0
sierra     WS.C.14.06 -------   30.37    0.01    0.44    14  6000     0     0
sierra     WS.C.14.07 -------   35.97    0.06    0.43    14  6000     0     0
sierra     WS.C.14.08 -------   27.68    0.11    0.05    14  6000     0     0
sierra     WS.C.14.09 -------   31.04    0.01    0.77    14  6000     0     0
sierra     WS.C.14.10 -------   18.38    0.30    0.75    14  6000     0     0
sierra     WS.C.14.11 -------   31.72    0.76    0.71    14  6000     0     0
sierra     WS.C.14.12 -------   20.70    0.55    0.66    14  6000     0     0
sierra     WS.C.14.13 -------   35.85    0.32    0.68    14  6000     0     0
sierra     WS.C.14.14 -------   33.52    0.18    0.65    14  6000     0     0
sierra     WS.C.14      36.16 ------- ------- -------    14  6000     0     0
sierra     WS.C.15.01 -------   36.35    0.01    0.03    15  6000     0     0
sierra     WS.C.15.02 -------   34.00    0.01    0.05    15  6000     0     0
sierra     WS.C.15.03 -------   34.14    0.01    0.07    15  6000     0     0
sierra     WS.C.15.04 -------   34.73    0.01    0.54    15  6000     0     0
sierra     WS.C.15.05 -------   37.29    0.01    0.30    15  6000     0     0
sierra     WS.C.15.06 -------   37.47    0.97    0.60    15  6000     0     0
sierra     WS.C.15.07 -------   37.99    0.10    0.03    15  6000     0     0
sierra     WS.C.15.08 -------   34.25    0.05    0.57    15  6000     0     0
sierra     WS.C.15.09 -------   27.65    0.03    0.98    15  6000     0     0
sierra     WS.C.15.10 -------   27.77    0.18    0.51    15  6000     0     0
sierra     WS.C.15.11 -------   34.30    0.19    0.49    15  6000     0     0
sierra     WS.C.15.12 -------   18.77    0.17    0.83    15  6000     0     0
sierra     WS.C.15.13 -------   34.61    0.29    0.83    15  6000     0     0
sierra     WS.C.15.14 -------   32.17    0.23    0.64    15  6000     0     0
sierra     WS.C.15.15 -------   32.01    0.15    0.52    15  6000     0     0
sierra     WS.C.15      38.19 ------- ------- -------    15  6000     0     0
sierra     WS.C.16.01 -------   35.67    0.01    0.04    16  6000     0     0
sierra     WS.C.16.02 -------   38.53    0.00    0.08    16  6000     0     0
sierra     WS.C.16.03 -------   38.23    0.01    0.12    16  6000     0     0
sierra     WS.C.16.04 -------   39.03    0.01    0.20    16  6000     0     0
sierra     WS.C.16.05 -------   36.12    0.01    0.65    16  6000     0     0
sierra     WS.C.16.06 -------   36.06    0.12    0.15    16  6000     0     0
sierra     WS.C.16.07 -------   36.67    0.15    0.64    16  6000     0     0
sierra     WS.C.16.08 -------   36.35    0.04    1.06    16  6000     0     0
sierra     WS.C.16.09 -------   38.34    0.18    0.86    16  6000     0     0
sierra     WS.C.16.10 -------   35.17    0.09    0.96    16  6000     0     0
sierra     WS.C.16.11 -------   38.35    0.01    0.93    16  6000     0     0
sierra     WS.C.16.12 -------   36.59    0.08    1.70    16  6000     0     0
sierra     WS.C.16.13 -------   36.83    0.07    1.68    16  6000     0     0
sierra     WS.C.16.14 -------   36.52    0.22    0.67    16  6000     0     0
sierra     WS.C.16.15 -------   36.46    0.24    1.64    16  6000     0     0
sierra     WS.C.16.16 -------   38.76    0.00    1.62    16  6000     0     0
sierra     WS.C.16      39.19 ------- ------- -------    16  6000     0     0
sierra     WS.C.17.01 -------   35.17    0.01    0.03    17  6000     0     0
sierra     WS.C.17.02 -------   36.33    0.01    0.04    17  6000     0     0
sierra     WS.C.17.03 -------   36.31    0.00    0.06    17  6000     0     0
sierra     WS.C.17.04 -------   36.20    0.01    0.07    17  6000     0     0
sierra     WS.C.17.05 -------   36.43    0.01    0.25    17  6000     0     0
sierra     WS.C.17.06 -------   36.31    0.02    0.21    17  6000     0     0
sierra     WS.C.17.07 -------   42.35    0.02    0.40    17  6000     0     0
sierra     WS.C.17.08 -------   38.60    0.81    0.34    17  6000     0     0
sierra     WS.C.17.09 -------   36.43    0.06    0.32    17  6000     0     0
sierra     WS.C.17.10 -------   44.81    0.02    0.30    17  6000     0     0
sierra     WS.C.17.11 -------   39.05    0.65    0.75    17  6000     0     0
sierra     WS.C.17.12 -------   39.45    0.28    0.29    17  6000     0     0
sierra     WS.C.17.13 -------   38.06    0.16    1.08    17  6000     0     0
sierra     WS.C.17.14 -------   44.58    0.00    0.95    17  6000     0     0
sierra     WS.C.17.15 -------   39.70    0.53    1.08    17  6000     0     0
sierra     WS.C.17.16 -------   36.27    0.33    1.16    17  6000     0     0
sierra     WS.C.17.17 -------   38.08    0.32    0.67    17  6000     0     0
sierra     WS.C.17      45.10 ------- ------- -------    17  6000     0     0
sierra     WS.C.18.01 -------   38.72    0.01    0.03    18  6000     0     0
sierra     WS.C.18.02 -------   44.01    0.01    0.23    18  6000     0     0
sierra     WS.C.18.03 -------   35.81    0.01    0.22    18  6000     0     0
sierra     WS.C.18.04 -------   43.19    0.00    0.21    18  6000     0     0
