# ------------------------------------------------------------------------------
# host         exp-id     ttc     ttc     ttc     ttc     # comp.   mem  disk
#                       total    comp     mem    disk  apps  load  load  load
#                         sec     sec     sec     sec       MFLOP MByte MByte
# ------------------------------------------------------------------------------
boskop     WS.C.07.03 -------   14.67    0.03    0.51     7  6000     0     0
boskop     WS.C.07.04 -------   13.54    0.05    0.51     7  6000     0     0
boskop     WS.C.07.05 -------   14.57    0.04    0.49     7  6000     0     0
boskop     WS.C.07.06 -------   13.86    0.04    0.47     7  6000     0     0
boskop     WS.C.07.07 -------   18.56    0.03    0.47     7  6000     0     0
boskop     WS.C.07      18.88 ------- ------- -------     7  6000     0     0
boskop     WS.C.08.01 -------   19.75    0.00    0.39     8  6000     0     0
boskop     WS.C.08.02 -------   17.17    0.00    0.59     8  6000     0     0
boskop     WS.C.08.03 -------   20.13    0.00    0.58     8  6000     0     0
boskop     WS.C.08.04 -------   15.70    0.01    0.58     8  6000     0     0
boskop     WS.C.08.05 -------   19.46    0.02    0.57     8  6000     0     0
boskop     WS.C.08.06 -------   16.27    0.02    0.55     8  6000     0     0
boskop     WS.C.08.07 -------   14.19    0.03    0.56     8  6000     0     0
boskop     WS.C.08.08 -------   13.97    0.04    0.53     8  6000     0     0
boskop     WS.C.08      20.45 ------- ------- -------     8  6000     0     0
boskop     WS.C.09.01 -------   18.10    0.00    0.69     9  6000     0     0
boskop     WS.C.09.02 -------   20.52    0.00    0.64     9  6000     0     0
boskop     WS.C.09.03 -------   20.34    0.00    0.79     9  6000     0     0
boskop     WS.C.09.04 -------   19.19    0.01    0.63     9  6000     0     0
boskop     WS.C.09.05 -------   19.43    0.02    0.66     9  6000     0     0
boskop     WS.C.09.06 -------   18.08    0.01    0.66     9  6000     0     0
boskop     WS.C.09.07 -------   21.97    0.03    0.64     9  6000     0     0
boskop     WS.C.09.08 -------   22.21    0.03    0.74     9  6000     0     0
boskop     WS.C.09.09 -------   14.17    0.04    0.73     9  6000     0     0
boskop     WS.C.09      22.52 ------- ------- -------     9  6000     0     0
boskop     WS.C.10.01 -------   24.15    0.00    0.49    10  6000     0     0
boskop     WS.C.10.02 -------   23.24    0.00    0.52    10  6000     0     0
boskop     WS.C.10.03 -------   23.91    0.00    0.48    10  6000     0     0
boskop     WS.C.10.04 -------   21.16    0.01    0.49    10  6000     0     0
boskop     WS.C.10.05 -------   22.03    0.00    0.50    10  6000     0     0
boskop     WS.C.10.06 -------   23.34    0.02    0.46    10  6000     0     0
boskop     WS.C.10.07 -------   20.24    0.01    0.48    10  6000     0     0
boskop     WS.C.10.08 -------   20.94    0.01    0.46    10  6000     0     0
boskop     WS.C.10.09 -------   14.88    0.06    0.43    10  6000     0     0
boskop     WS.C.10.10 -------   21.93    0.07    0.42    10  6000     0     0
boskop     WS.C.10      24.35 ------- ------- -------    10  6000     0     0
boskop     WS.C.11.01 -------   25.52    0.00    0.26    11  6000     0     0
boskop     WS.C.11.02 -------   26.24    0.02    0.25    11  6000     0     0
boskop     WS.C.11.03 -------   25.27    0.01    0.41    11  6000     0     0
