sierra       C1.12.05 -------   59.67   54.61    1.60    12  1000  1000  1000
sierra       C1.12.06 -------   60.44    2.36    0.39    12  1000  1000  1000
sierra       C1.12.07 -------   48.30   52.83    1.47    12  1000  1000  1000
sierra       C1.12.08 -------   40.30   54.17    1.13    12  1000  1000  1000
sierra       C1.12.09 -------   54.11   54.49    2.98    12  1000  1000  1000
sierra       C1.12.10 -------   50.49   53.04    2.52    12  1000  1000  1000
sierra       C1.12.11 -------   56.13   52.48    2.04    12  1000  1000  1000
sierra       C1.12.12 -------   56.81    0.62    2.00    12  1000  1000  1000
sierra       C1.13      61.43 ------- ------- -------    13  1000  1000  1000
sierra       C1.13.01 -------   56.27   60.43    1.65    13  1000  1000  1000
sierra       C1.13.02 -------   54.08    0.00    2.23    13  1000  1000  1000
sierra       C1.13.03 -------   52.39    0.00    1.45    13  1000  1000  1000
sierra       C1.13.04 -------   52.75    0.37    0.70    13  1000  1000  1000
sierra       C1.13.05 -------   51.28    1.92    3.29    13  1000  1000  1000
sierra       C1.13.06 -------   57.16    0.90    2.57    13  1000  1000  1000
sierra       C1.13.07 -------   49.05    0.15    1.37    13  1000  1000  1000
sierra       C1.13.08 -------   52.46    1.26    4.25    13  1000  1000  1000
sierra       C1.13.09 -------   48.43    1.07    1.76    13  1000  1000  1000
sierra       C1.13.10 -------   44.19    2.43    2.94    13  1000  1000  1000
sierra       C1.13.11 -------   50.75    0.00    4.56    13  1000  1000  1000
sierra       C1.13.12 -------   53.04    1.50    4.55    13  1000  1000  1000
sierra       C1.13.13 -------   51.49    0.00    3.03    13  1000  1000  1000
sierra       C1.14      61.15 ------- ------- -------    14  1000  1000  1000
sierra       C1.14.01 -------   56.16   52.26    1.65    14  1000  1000  1000
sierra       C1.14.02 -------   52.53   52.82    2.49    14  1000  1000  1000
sierra       C1.14.03 -------   47.29    0.89    1.59    14  1000  1000  1000
sierra       C1.14.04 -------   50.24    0.00    0.90    14  1000  1000  1000
sierra       C1.14.05 -------   52.79    3.79    0.27    14  1000  1000  1000
sierra       C1.14.06 -------   56.27    1.61    0.36    14  1000  1000  1000
sierra       C1.14.07 -------   57.59    0.88    2.65    14  1000  1000  1000
sierra       C1.14.08 -------   56.19    0.20    5.17    14  1000  1000  1000
sierra       C1.14.09 -------   53.61    0.11    2.38    14  1000  1000  1000
sierra       C1.14.10 -------   52.99    0.58    0.94    14  1000  1000  1000
sierra       C1.14.11 -------   44.71    0.88    0.91    14  1000  1000  1000
sierra       C1.14.12 -------   53.45    1.38    2.89    14  1000  1000  1000
sierra       C1.14.13 -------   50.02    1.35    2.87    14  1000  1000  1000
sierra       C1.14.14 -------   51.44    0.00    2.92    14  1000  1000  1000
sierra       C1.15      60.99 ------- ------- -------    15  1000  1000  1000
sierra       C1.15.01 -------   57.15   56.19    3.50    15  1000  1000  1000
sierra       C1.15.02 -------   54.11    0.10    2.36    15  1000  1000  1000
sierra       C1.15.03 -------   48.59   53.05    0.62    15  1000  1000  1000
sierra       C1.15.04 -------   52.23    0.02    1.85    15  1000  1000  1000
sierra       C1.15.05 -------   53.78    0.65    1.83    15  1000  1000  1000
sierra       C1.15.06 -------   57.59    1.39    0.91    15  1000  1000  1000
sierra       C1.15.07 -------   58.15    0.75    1.09    15  1000  1000  1000
sierra       C1.15.08 -------   51.67    0.00    3.11    15  1000  1000  1000
sierra       C1.15.09 -------   51.58    1.09    1.12    15  1000  1000  1000
sierra       C1.15.10 -------   47.96    1.09    1.78    15  1000  1000  1000
sierra       C1.15.11 -------   53.88    1.17    2.54    15  1000  1000  1000
sierra       C1.15.12 -------   50.71    0.00    4.16    15  1000  1000  1000
sierra       C1.15.13 -------   47.96    0.19    2.71    15  1000  1000  1000
sierra       C1.15.14 -------   50.76    1.46    7.05    15  1000  1000  1000
sierra       C1.15.15 -------   48.73    0.59    4.91    15  1000  1000  1000
sierra       C1.16      62.01 ------- ------- -------    16  1000  1000  1000
sierra       C1.16.01 -------   50.34   55.34    3.54    16  1000  1000  1000
sierra       C1.16.02 -------   47.49   55.39    2.48    16  1000  1000  1000
sierra       C1.16.03 -------   56.77   55.25    2.03    16  1000  1000  1000
sierra       C1.16.04 -------   48.56   54.79    1.98    16  1000  1000  1000
sierra       C1.16.05 -------   48.03    2.58    1.99    16  1000  1000  1000
sierra       C1.16.06 -------   54.14    0.00    4.03    16  1000  1000  1000
sierra       C1.16.07 -------   50.90    0.52    1.99    16  1000  1000  1000
sierra       C1.16.08 -------   55.37    0.00    0.70    16  1000  1000  1000
