boskop-mod;WS.C.01.01;-------;1,2;0,0;0,0;1;6000;0;0;
boskop-mod;WS.C.01;1,2;-------;-------;-------;1;6000;0;0;
boskop-mod;WS.C.02.01;-------;1,2;0,0;0,0;2;6000;0;0;
boskop-mod;WS.C.02.02;-------;1,2;0,0;0,0;2;6000;0;0;
boskop-mod;WS.C.02;1,2;-------;-------;-------;2;6000;0;0;
boskop-mod;WS.C.03.01;-------;1,2;0,0;0,0;3;6000;0;0;
boskop-mod;WS.C.03.02;-------;1,2;0,0;0,0;3;6000;0;0;
boskop-mod;WS.C.03.03;-------;1,2;0,0;0,0;3;6000;0;0;
boskop-mod;WS.C.03;1,2;-------;-------;-------;3;6000;0;0;
boskop-mod;WS.C.04.01;-------;1,2;0,0;0,0;4;6000;0;0;
boskop-mod;WS.C.04.02;-------;1,2;0,0;0,0;4;6000;0;0;
boskop-mod;WS.C.04.03;-------;1,2;0,0;0,0;4;6000;0;0;
boskop-mod;WS.C.04.04;-------;1,2;0,0;0,0;4;6000;0;0;
boskop-mod;WS.C.04;1,2;-------;-------;-------;4;6000;0;0;
boskop-mod;WS.C.05.01;-------;1,2;0,0;0,0;5;6000;0;0;
boskop-mod;WS.C.05.02;-------;1,2;0,0;0,0;5;6000;0;0;
boskop-mod;WS.C.05.03;-------;1,2;0,0;0,0;5;6000;0;0;
boskop-mod;WS.C.05.04;-------;1,2;0,0;0,0;5;6000;0;0;
boskop-mod;WS.C.05.05;-------;1,2;0,0;0,0;5;6000;0;0;
boskop-mod;WS.C.05;1,2;-------;-------;-------;5;6000;0;0;
boskop-mod;WS.C.06.01;-------;1,2;0,0;0,0;6;6000;0;0;
boskop-mod;WS.C.06.02;-------;1,2;0,0;0,0;6;6000;0;0;
boskop-mod;WS.C.06.03;-------;1,2;0,0;0,0;6;6000;0;0;
boskop-mod;WS.C.06.04;-------;1,2;0,0;0,0;6;6000;0;0;
boskop-mod;WS.C.06.05;-------;1,2;0,0;0,0;6;6000;0;0;
boskop-mod;WS.C.06.06;-------;1,2;0,0;0,0;6;6000;0;0;
boskop-mod;WS.C.06;1,2;-------;-------;-------;6;6000;0;0;
boskop-mod;WS.C.07.01;-------;2,4;0,0;0,0;7;6000;0;0;
boskop-mod;WS.C.07.02;-------;1,2;0,0;0,0;7;6000;0;0;
boskop-mod;WS.C.07.03;-------;1,2;0,0;0,0;7;6000;0;0;
boskop-mod;WS.C.07.04;-------;1,2;0,0;0,0;7;6000;0;0;
boskop-mod;WS.C.07.05;-------;1,2;0,0;0,0;7;6000;0;0;
boskop-mod;WS.C.07.06;-------;1,2;0,0;0,0;7;6000;0;0;
boskop-mod;WS.C.07.07;-------;2,4;0,0;0,0;7;6000;0;0;
boskop-mod;WS.C.07;2,4;-------;-------;-------;7;6000;0;0;
boskop-mod;WS.C.08.01;-------;2,4;0,0;0,0;8;6000;0;0;
boskop-mod;WS.C.08.02;-------;2,4;0,0;0,0;8;6000;0;0;
boskop-mod;WS.C.08.03;-------;1,2;0,0;0,0;8;6000;0;0;
boskop-mod;WS.C.08.04;-------;1,2;0,0;0,0;8;6000;0;0;
boskop-mod;WS.C.08.05;-------;1,2;0,0;0,0;8;6000;0;0;
boskop-mod;WS.C.08.06;-------;1,2;0,0;0,0;8;6000;0;0;
boskop-mod;WS.C.08.07;-------;2,4;0,0;0,0;8;6000;0;0;
boskop-mod;WS.C.08.08;-------;2,4;0,0;0,0;8;6000;0;0;
boskop-mod;WS.C.08;2,4;-------;-------;-------;8;6000;0;0;
boskop-mod;WS.C.09.01;-------;2,4;0,0;0,0;9;6000;0;0;
boskop-mod;WS.C.09.02;-------;2,4;0,0;0,0;9;6000;0;0;
boskop-mod;WS.C.09.03;-------;2,4;0,0;0,0;9;6000;0;0;
boskop-mod;WS.C.09.04;-------;1,2;0,0;0,0;9;6000;0;0;
boskop-mod;WS.C.09.05;-------;1,2;0,0;0,0;9;6000;0;0;
boskop-mod;WS.C.09.06;-------;1,2;0,0;0,0;9;6000;0;0;
boskop-mod;WS.C.09.07;-------;2,4;0,0;0,0;9;6000;0;0;
boskop-mod;WS.C.09.08;-------;2,4;0,0;0,0;9;6000;0;0;
boskop-mod;WS.C.09.09;-------;2,4;0,0;0,0;9;6000;0;0;
boskop-mod;WS.C.09;2,4;-------;-------;-------;9;6000;0;0;
boskop-mod;WS.C.10.01;-------;2,4;0,0;0,0;10;6000;0;0;
boskop-mod;WS.C.10.02;-------;2,4;0,0;0,0;10;6000;0;0;
boskop-mod;WS.C.10.03;-------;2,4;0,0;0,0;10;6000;0;0;
boskop-mod;WS.C.10.04;-------;2,4;0,0;0,0;10;6000;0;0;
boskop-mod;WS.C.10.05;-------;1,2;0,0;0,0;10;6000;0;0;
boskop-mod;WS.C.10.06;-------;1,2;0,0;0,0;10;6000;0;0;
boskop-mod;WS.C.10.07;-------;2,4;0,0;0,0;10;6000;0;0;
boskop-mod;WS.C.10.08;-------;2,4;0,0;0,0;10;6000;0;0;
boskop-mod;WS.C.10.09;-------;2,4;0,0;0,0;10;6000;0;0;
boskop-mod;WS.C.10.10;-------;2,4;0,0;0,0;10;6000;0;0;
boskop-mod;WS.C.10;2,4;-------;-------;-------;10;6000;0;0;
boskop-mod;WS.C.11.01;-------;2,4;0,0;0,0;11;6000;0;0;
boskop-mod;WS.C.11.02;-------;2,4;0,0;0,0;11;6000;0;0;
boskop-mod;WS.C.11.03;-------;2,4;0,0;0,0;11;6000;0;0;
boskop-mod;WS.C.11.04;-------;2,4;0,0;0,0;11;6000;0;0;
