boskop     WS.C.62     162.79 ------- ------- -------    62  6000     0     0
boskop     WS.C.63     165.95 ------- ------- -------    63  6000     0     0
boskop     WS.C.64     170.22 ------- ------- -------    64  6000     0     0
boskop     WS.M.01       2.00 ------- ------- -------     1     0   256     0
boskop     WS.M.02       1.39 ------- ------- -------     2     0   256     0
boskop     WS.M.03       1.41 ------- ------- -------     3     0   256     0
boskop     WS.M.04       1.59 ------- ------- -------     4     0   256     0
boskop     WS.M.05       1.62 ------- ------- -------     5     0   256     0
boskop     WS.M.06       1.75 ------- ------- -------     6     0   256     0
boskop     WS.M.07       2.20 ------- ------- -------     7     0   256     0
boskop     WS.M.08       2.42 ------- ------- -------     8     0   256     0
boskop     WS.M.09       2.56 ------- ------- -------     9     0   256     0
boskop     WS.M.10       2.75 ------- ------- -------    10     0   256     0
boskop     WS.M.11       3.00 ------- ------- -------    11     0   256     0
boskop     WS.M.12       3.19 ------- ------- -------    12     0   256     0
boskop     WS.M.13       3.50 ------- ------- -------    13     0   256     0
boskop     WS.M.14       3.71 ------- ------- -------    14     0   256     0
boskop     WS.M.15       3.96 ------- ------- -------    15     0   256     0
boskop     WS.M.16       4.21 ------- ------- -------    16     0   256     0
boskop     WS.M.17       4.41 ------- ------- -------    17     0   256     0
boskop     WS.M.18       4.67 ------- ------- -------    18     0   256     0
boskop     WS.M.19       4.97 ------- ------- -------    19     0   256     0
boskop     WS.M.20       6.26 ------- ------- -------    20     0   256     0
boskop     WS.M.21       5.10 ------- ------- -------    21     0   256     0
boskop     WS.M.22       5.45 ------- ------- -------    22     0   256     0
boskop     WS.M.23       5.66 ------- ------- -------    23     0   256     0
boskop     WS.M.24       5.83 ------- ------- -------    24     0   256     0
boskop     WS.M.25       6.17 ------- ------- -------    25     0   256     0
boskop     WS.M.26       6.39 ------- ------- -------    26     0   256     0
boskop     WS.M.27       6.64 ------- ------- -------    27     0   256     0
boskop     WS.M.28       6.75 ------- ------- -------    28     0   256     0
boskop     WS.M.29       7.05 ------- ------- -------    29     0   256     0
boskop     WS.M.30       7.27 ------- ------- -------    30     0   256     0
boskop     WS.M.31       7.53 ------- ------- -------    31     0   256     0
boskop     WS.M.32       7.79 ------- ------- -------    32     0   256     0
boskop     WS.M.33       8.01 ------- ------- -------    33     0   256     0
boskop     WS.M.34       8.28 ------- ------- -------    34     0   256     0
boskop     WS.M.35       8.47 ------- ------- -------    35     0   256     0
boskop     WS.M.36       8.72 ------- ------- -------    36     0   256     0
boskop     WS.M.37       8.96 ------- ------- -------    37     0   256     0
boskop     WS.M.38       9.21 ------- ------- -------    38     0   256     0
boskop     WS.M.39       9.47 ------- ------- -------    39     0   256     0
