# host                  id     x     y     z stress   t_real     t_cpu     t_mem      t_io       cpu util  eff  load       mem        io
boskop            EMU.2560  2560  2560   250     1    144.91    141.37     12.20     12.28  90719.97 0.47 0.75  2.04   2016.45   1438.00
boskop            EMU.2560  2560  2560   250     1    144.33    140.80     11.65     12.01  90854.70 0.47 0.75  2.04   2016.45   1438.00
boskop            EMU.2560  2560  2560   250     1    144.72    141.19     12.10     12.29  90856.23 0.47 0.75  2.08   2016.45   1438.00
boskop       MEAN_EMU.2560  2560  2560   250     1    144.16    140.62     12.02     12.31  90789.50 0.47 0.75  2.10   2016.45   1438.00
boskop        STD_EMU.2560  2560  2560   250     1      0.85      0.86      0.20      0.16     75.84 0.00 0.00  0.06      0.00      0.00
boskop       STAT_EMU.2560  2560  2560   250     1    144.16      0.85    140.62      0.86     12.02      0.20     12.31      0.16  90789.50     75.84 0.47 0.00 0.75 0.00  2.10  0.06   2016.45      0.00   1438.00      0.00

boskop       STAT_EXE.2560  2560  2560   250     2    150.10      0.50
boskop            PRO.2560  2560  2560   250     2    155.04 --------- --------- ---------  92673.24 0.45 0.82  3.19   2016.01   1437.55
boskop            PRO.2560  2560  2560   250     2    156.17 --------- --------- ---------  92856.03 0.44 0.81  3.07   2016.01   1437.55
boskop            PRO.2560  2560  2560   250     2    156.04 --------- --------- ---------  92509.42 0.44 0.81  3.09   2016.01   1437.55
boskop            PRO.2560  2560  2560   250     2    154.82 --------- --------- ---------  92981.82 0.45 0.81  3.09   2016.01   1437.55
boskop            PRO.2560  2560  2560   250     2    154.24 --------- --------- ---------  92807.37 0.45 0.81  3.00   2016.01   1437.55
boskop            PRO.2560  2560  2560   250     2    153.84 --------- --------- ---------  92870.87 0.45 0.81  3.14   2016.01   1437.55
