# host                  id     x     y     z    t_real     t_cpu     t_mem      t_io       cpu util  eff  load       mem        io
boskop            PRO.0020    20    20   250      3.34 --------- --------- ---------     10.52 0.00 0.75  0.21    239.16      0.09
boskop            PRO.0020    20    20   250      3.34 --------- --------- ---------     10.43 0.00 0.74  0.21    239.03      0.09
boskop            PRO.0020    20    20   250      3.33 --------- --------- ---------     10.44 0.00 0.74  0.19    239.03      0.09
boskop            PRO.0020    20    20   250      3.33 --------- --------- ---------     10.39 0.00 0.74  0.18    239.02      0.09
boskop            PRO.0020    20    20   250      3.33 --------- --------- ---------     10.50 0.00 0.75  0.18    239.03      0.09
boskop            PRO.0020    20    20   250      3.34 --------- --------- ---------     10.56 0.00 0.74  0.16    239.03      0.09
boskop            PRO.0020    20    20   250      3.34 --------- --------- ---------     10.44 0.00 0.74  0.15    239.03      0.09
boskop            PRO.0020    20    20   250      3.34 --------- --------- ---------     10.47 0.00 0.75  0.15    239.03      0.09
boskop            PRO.0020    20    20   250      3.34 --------- --------- ---------     10.47 0.00 0.75  0.14    239.03      0.09
boskop            PRO.0020    20    20   250      3.33 --------- --------- ---------     10.39 0.00 0.74  0.13    239.03      0.09
boskop       MEAN_PRO.0020    20    20   250      3.34 --------- --------- ---------     10.46 0.00 0.75  0.17    239.04      0.09
boskop        STD_PRO.0020    20    20   250      0.00 --------- --------- ---------      0.05 0.00 0.00  0.03      0.04      0.00
boskop       STAT_PRO.0020    20    20   250      3.34      0.00 --------- --------- --------- --------- --------- ---------     10.46      0.05 0.00 0.00 0.75 0.00  0.17  0.03    239.04      0.04      0.09      0.00
boskop            EMU.0020    20    20   250      4.73      0.02      1.39      0.18    445.05 0.07 0.53  0.28    239.34      1.00
boskop            EMU.0020    20    20   250      4.73      0.02      1.40      0.17    448.17 0.07 0.53  0.33    239.34      1.00
boskop            EMU.0020    20    20   250      4.73      0.02      1.39      0.19    445.30 0.07 0.53  0.33    239.34      1.00
boskop            EMU.0020    20    20   250      4.74      0.03      1.40      0.18    450.48 0.07 0.53  0.31    239.34      1.00
boskop            EMU.0020    20    20   250      4.69      0.02      1.35      0.24    451.32 0.07 0.55  0.36    239.34      1.00
boskop            EMU.0020    20    20   250      4.73      0.02      1.39      0.16    446.92 0.07 0.53  0.33    239.34      1.00
boskop            EMU.0020    20    20   250      4.73      0.02      1.39      0.15    446.93 0.07 0.53  0.31    239.34      1.00
boskop            EMU.0020    20    20   250      4.73      0.02      1.40      0.15    448.24 0.07 0.53  0.28    239.34      1.00
boskop            EMU.0020    20    20   250      4.73      0.02      1.39      0.15    444.00 0.07 0.53  0.26    239.34      1.00
boskop            EMU.0020    20    20   250      4.69      0.02      1.35      0.14    448.07 0.07 0.54  0.24    239.34      1.00
boskop       MEAN_EMU.0020    20    20   250      4.72      0.02      1.39      0.17    447.45 0.07 0.53  0.30    239.34      1.00
boskop        STD_EMU.0020    20    20   250      0.02      0.00      0.02      0.03      2.20 0.00 0.01  0.04      0.00      0.00
boskop       STAT_EMU.0020    20    20   250      4.72      0.02      0.02      0.00      1.39      0.02      0.17      0.03    447.45      2.20 0.07 0.00 0.53 0.01  0.30  0.04    239.34      0.00      1.00      0.00

boskop            PRO.0040    40    40   250      3.36 --------- --------- ---------     23.21 0.01 0.81  0.22    239.40      0.36
boskop            PRO.0040    40    40   250      3.36 --------- --------- ---------     25.79 0.01 0.79  0.22    239.40      0.36
boskop            PRO.0040    40    40   250      3.36 --------- --------- ---------     25.70 0.01 0.79  0.20    239.40      0.36
boskop            PRO.0040    40    40   250      3.36 --------- --------- ---------     25.86 0.01 0.79  0.19    239.40      0.36
boskop            PRO.0040    40    40   250      3.36 --------- --------- ---------     25.76 0.01 0.79  0.19    239.40      0.36
boskop            PRO.0040    40    40   250      3.36 --------- --------- ---------     23.50 0.01 0.81  0.17    239.40      0.36
boskop            PRO.0040    40    40   250      3.36 --------- --------- ---------     23.33 0.01 0.81  0.16    239.40      0.36
boskop            PRO.0040    40    40   250      3.36 --------- --------- ---------     23.22 0.01 0.81  0.31    239.40      0.36
boskop            PRO.0040    40    40   250      3.36 --------- --------- ---------     23.13 0.01 0.81  0.31    239.40      0.36
boskop            PRO.0040    40    40   250      3.36 --------- --------- ---------     23.56 0.01 0.81  0.28    239.40      0.36
boskop       MEAN_PRO.0040    40    40   250      3.36 --------- --------- ---------     24.31 0.01 0.80  0.23    239.40      0.36
boskop        STD_PRO.0040    40    40   250      0.00 --------- --------- ---------      1.21 0.00 0.01  0.05      0.00      0.00
boskop       STAT_PRO.0040    40    40   250      3.36      0.00 --------- --------- --------- --------- --------- ---------     24.31      1.21 0.01 0.00 0.80 0.01  0.23  0.05    239.40      0.00      0.36      0.00
boskop            EMU.0040    40    40   250      4.74      0.05      1.40      0.17    464.74 0.07 0.54  0.26    239.34      1.00
boskop            EMU.0040    40    40   250      4.74      0.05      1.40      0.16    462.68 0.07 0.53  0.40    239.34      1.00
boskop            EMU.0040    40    40   250      4.73      0.05      1.40      0.16    464.04 0.07 0.54  0.45    239.34      1.00
boskop            EMU.0040    40    40   250      4.74      0.05      1.40      0.14    461.88 0.07 0.54  0.49    239.34      1.00
boskop            EMU.0040    40    40   250      4.74      0.05      1.40      0.20    466.01 0.07 0.54  0.53    239.34      1.00
boskop            EMU.0040    40    40   250      4.74      0.05      1.40      0.15    464.61 0.07 0.54  0.57    239.34      1.00
